127.0.0.1 - - [04/Jun/2025:15:48:26 +0800] "GET / HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [04/Jun/2025:15:48:26 +0800] "GET /javaweb/ HTTP/1.1" 200 3572
0:0:0:0:0:0:0:1 - - [04/Jun/2025:15:48:26 +0800] "GET /javaweb//layui/css/layui.css HTTP/1.1" 200 130067
0:0:0:0:0:0:0:1 - - [04/Jun/2025:15:48:26 +0800] "GET /javaweb//js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [04/Jun/2025:15:48:26 +0800] "GET /javaweb//layui/layui.js HTTP/1.1" 200 375773
0:0:0:0:0:0:0:1 - - [04/Jun/2025:15:48:26 +0800] "GET /javaweb//layui/font/iconfont.woff2?v=293 HTTP/1.1" 200 30004
0:0:0:0:0:0:0:1 - - [04/Jun/2025:15:48:26 +0800] "GET /favicon.ico HTTP/1.1" 404 712
0:0:0:0:0:0:0:1 - - [04/Jun/2025:15:48:27 +0800] "POST /javaweb/CheckLoginServlet HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [04/Jun/2025:15:48:30 +0800] "GET /javaweb/pages/UserForm.html HTTP/1.1" 200 8607
0:0:0:0:0:0:0:1 - - [04/Jun/2025:15:48:30 +0800] "GET /javaweb/pages/Public/Home.html HTTP/1.1" 200 8113
0:0:0:0:0:0:0:1 - - [04/Jun/2025:15:48:30 +0800] "GET /javaweb/layui/css/layui.css HTTP/1.1" 200 130067
0:0:0:0:0:0:0:1 - - [04/Jun/2025:15:48:30 +0800] "GET /javaweb/layui/layui.js HTTP/1.1" 200 375773
0:0:0:0:0:0:0:1 - - [04/Jun/2025:15:48:30 +0800] "GET /javaweb/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [04/Jun/2025:15:48:30 +0800] "GET /javaweb/img/ModelImage/Laptop.png HTTP/1.1" 200 7502
0:0:0:0:0:0:0:1 - - [04/Jun/2025:15:48:30 +0800] "GET /javaweb/img/ModelImage/Phone.png HTTP/1.1" 200 8536
0:0:0:0:0:0:0:1 - - [04/Jun/2025:15:48:30 +0800] "GET /javaweb/img/ModelImage/Console.png HTTP/1.1" 200 9145
0:0:0:0:0:0:0:1 - - [04/Jun/2025:15:48:30 +0800] "GET /javaweb/img/ModelImage/PowerTools.png HTTP/1.1" 200 12890
0:0:0:0:0:0:0:1 - - [04/Jun/2025:15:48:30 +0800] "GET /javaweb/SelectPersonalInfoServlet HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [04/Jun/2025:15:48:30 +0800] "GET /javaweb/img/2.jpg HTTP/1.1" 200 48425
0:0:0:0:0:0:0:1 - - [04/Jun/2025:15:48:30 +0800] "GET /javaweb/CountModelArticleServlet HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [04/Jun/2025:15:48:33 +0800] "GET /javaweb/pages/Public/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2025:15:48:33 +0800] "GET /javaweb/CountModelArticleServlet HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [04/Jun/2025:15:48:34 +0800] "GET /javaweb/pages/UserForm.html HTTP/1.1" 200 8607
0:0:0:0:0:0:0:1 - - [04/Jun/2025:15:48:34 +0800] "GET /javaweb//layui/css/layui.css HTTP/1.1" 200 130067
0:0:0:0:0:0:0:1 - - [04/Jun/2025:15:48:34 +0800] "GET /javaweb//layui/layui.js HTTP/1.1" 200 375773
0:0:0:0:0:0:0:1 - - [04/Jun/2025:15:48:34 +0800] "GET /javaweb//js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [04/Jun/2025:15:48:34 +0800] "GET /javaweb/pages/Public/Home.html HTTP/1.1" 200 8113
0:0:0:0:0:0:0:1 - - [04/Jun/2025:15:48:34 +0800] "GET /javaweb//layui/font/iconfont.woff2?v=293 HTTP/1.1" 200 30004
0:0:0:0:0:0:0:1 - - [04/Jun/2025:15:48:34 +0800] "GET /javaweb/layui/css/layui.css HTTP/1.1" 200 130067
0:0:0:0:0:0:0:1 - - [04/Jun/2025:15:48:34 +0800] "GET /javaweb/img/ModelImage/Laptop.png HTTP/1.1" 200 7502
0:0:0:0:0:0:0:1 - - [04/Jun/2025:15:48:34 +0800] "GET /javaweb/img/ModelImage/Phone.png HTTP/1.1" 200 8536
0:0:0:0:0:0:0:1 - - [04/Jun/2025:15:48:34 +0800] "GET /javaweb/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
